episode,steps,return,average_reward_per_step
1,434,-980,-2.2580645161290325
2,600,-1470,-2.45
3,565,-1300,-2.3008849557522124
4,123,-309,-2.5121951219512195
5,466,-1048,-2.2489270386266096
6,1369,-2662,-1.9444850255661066
7,875,-2186,-2.498285714285714
8,1421,-2939,-2.06826178747361
9,1303,-2380,-1.8265541059094397
10,884,-1196,-1.3529411764705883
11,608,-686,-1.1282894736842106
12,668,-818,-1.2245508982035929
13,871,-1246,-1.4305396096440872
14,990,-1329,-1.3424242424242425
15,1341,-1761,-1.313199105145414
16,1219,-1495,-1.2264150943396226
17,577,-691,-1.197573656845754
18,1514,-2285,-1.5092470277410832
19,1411,-2092,-1.482636428065202
20,876,-1674,-1.9109589041095891
21,430,-571,-1.327906976744186
22,965,-1520,-1.5751295336787565
23,942,-1434,-1.5222929936305734
24,790,-1228,-1.5544303797468355
25,471,-693,-1.4713375796178343
26,712,-1078,-1.5140449438202248
27,1237,-1711,-1.3831851253031529
28,776,-1151,-1.4832474226804124
29,793,-1141,-1.4388398486759142
30,418,-505,-1.208133971291866
31,1037,-1322,-1.274831243972999
32,960,-1299,-1.353125
33,1394,-2030,-1.4562410329985653
34,852,-1299,-1.5246478873239437
35,396,-600,-1.5151515151515151
36,1109,-1727,-1.557258791704238
37,1175,-1595,-1.3574468085106384
38,844,-1237,-1.4656398104265402
39,712,-1042,-1.4634831460674158
40,1278,-1959,-1.5328638497652582
41,609,-822,-1.3497536945812807
42,862,-1318,-1.5290023201856149
43,878,-1244,-1.4168564920273348
44,927,-1203,-1.2977346278317152
45,1051,-1597,-1.5195052331113226
46,1678,-2521,-1.50238379022646
47,1377,-1950,-1.4161220043572984
48,1269,-1797,-1.4160756501182032
49,645,-840,-1.302325581395349
50,375,-561,-1.496
51,1511,-1949,-1.2898742554599603
52,1855,-2572,-1.386522911051213
53,538,-778,-1.446096654275093
54,540,-762,-1.4111111111111112
55,1297,-1816,-1.400154202004626
56,1323,-1824,-1.3786848072562359
57,471,-702,-1.4904458598726114
58,638,-851,-1.3338557993730407
59,844,-1210,-1.433649289099526
60,809,-1076,-1.3300370828182941
61,571,-847,-1.4833625218914186
62,884,-1250,-1.414027149321267
63,1783,-2698,-1.5131800336511498
64,1072,-1438,-1.3414179104477613
65,661,-883,-1.3358547655068078
66,897,-1389,-1.548494983277592
67,677,-935,-1.3810930576070901
68,1048,-1459,-1.3921755725190839
69,524,-737,-1.4064885496183206
70,803,-1160,-1.4445828144458281
71,1387,-2059,-1.4844989185291997
72,621,-807,-1.2995169082125604
73,913,-1252,-1.3713033953997809
74,567,-816,-1.439153439153439
75,869,-1244,-1.431530494821634
76,598,-784,-1.3110367892976589
77,697,-1018,-1.460545193687231
78,746,-995,-1.3337801608579087
79,619,-814,-1.3150242326332795
80,1287,-1878,-1.4592074592074593
81,497,-701,-1.4104627766599598
82,819,-1221,-1.4908424908424909
83,495,-672,-1.3575757575757577
84,460,-619,-1.3456521739130434
85,1098,-1653,-1.505464480874317
86,700,-877,-1.252857142857143
87,135,-159,-1.1777777777777778
88,433,-565,-1.3048498845265588
89,320,-434,-1.35625
90,1535,-2090,-1.3615635179153094
91,695,-953,-1.371223021582734
92,528,-741,-1.4034090909090908
93,724,-1009,-1.393646408839779
94,854,-1112,-1.3021077283372364
95,582,-750,-1.288659793814433
96,1211,-1874,-1.5474814203137903
97,303,-372,-1.2277227722772277
98,1268,-1670,-1.3170347003154574
99,768,-990,-1.2890625
100,735,-1011,-1.3755102040816327
101,709,-1039,-1.465444287729196
102,657,-951,-1.447488584474886
103,982,-1348,-1.3727087576374746
104,348,-480,-1.3793103448275863
105,376,-517,-1.375
