episode,steps,return,average_reward_per_step
1,517,-1243,-2.404255319148936
2,1174,-1927,-1.641396933560477
3,445,-1072,-2.4089887640449437
4,1111,-2629,-2.366336633663366
5,515,-1214,-2.3572815533980584
6,1028,-1655,-1.609922178988327
7,338,-470,-1.3905325443786982
8,1123,-2533,-2.255565449688335
9,1234,-1528,-1.2382495948136143
10,1345,-2296,-1.7070631970260224
11,894,-1143,-1.278523489932886
12,709,-994,-1.4019746121297603
13,1039,-2260,-2.1751684311838306
14,686,-818,-1.1924198250728864
15,795,-1413,-1.7773584905660378
16,525,-711,-1.3542857142857143
17,903,-1116,-1.2358803986710964
18,551,-800,-1.4519056261343013
19,621,-1050,-1.6908212560386473
20,652,-1018,-1.5613496932515338
21,101,-134,-1.3267326732673268
22,607,-1000,-1.6474464579901154
23,610,-904,-1.481967213114754
24,377,-626,-1.660477453580902
25,254,-377,-1.484251968503937
26,338,-470,-1.3905325443786982
27,175,-253,-1.4457142857142857
28,491,-713,-1.4521384928716905
29,527,-749,-1.4212523719165084
30,432,-519,-1.2013888888888888
31,534,-774,-1.449438202247191
32,377,-419,-1.1114058355437666
33,424,-547,-1.2900943396226414
34,334,-610,-1.8263473053892216
35,726,-1173,-1.615702479338843
36,293,-353,-1.204778156996587
37,234,-312,-1.3333333333333333
38,546,-705,-1.2912087912087913
39,856,-1231,-1.4380841121495327
40,277,-382,-1.3790613718411553
41,426,-513,-1.204225352112676
42,18,3,0.16666666666666666
43,272,-332,-1.2205882352941178
44,252,-303,-1.2023809523809523
45,268,-301,-1.123134328358209
46,254,-296,-1.1653543307086613
47,514,-637,-1.2392996108949417
48,303,-435,-1.4356435643564356
49,285,-282,-0.9894736842105263
50,313,-391,-1.2492012779552715
51,275,-362,-1.3163636363636364
52,275,-416,-1.5127272727272727
53,448,-751,-1.6763392857142858
54,215,-302,-1.4046511627906977
55,212,-263,-1.240566037735849
56,424,-691,-1.6297169811320755
57,250,-499,-1.996
58,164,-278,-1.6951219512195121
59,438,-534,-1.2191780821917808
60,235,-286,-1.2170212765957447
61,282,-387,-1.372340425531915
62,310,-514,-1.6580645161290322
63,169,-211,-1.2485207100591715
64,395,-536,-1.3569620253164556
65,259,-373,-1.4401544401544402
66,201,-288,-1.4328358208955223
67,604,-871,-1.4420529801324504
68,353,-431,-1.2209631728045325
69,191,-287,-1.5026178010471205
70,325,-511,-1.5723076923076924
71,172,-187,-1.0872093023255813
72,189,-312,-1.6507936507936507
73,206,-302,-1.4660194174757282
74,157,-217,-1.3821656050955413
75,233,-284,-1.2188841201716738
76,145,-178,-1.2275862068965517
