episode,steps,return,average_reward_per_step
1,635,-1496,-2.3559055118110237
2,1041,-2406,-2.3112391930835736
3,1168,-1930,-1.6523972602739727
4,1248,-2766,-2.2163461538461537
5,1172,-2753,-2.348976109215017
6,403,-553,-1.3722084367245657
7,482,-1001,-2.0767634854771786
8,908,-1967,-2.1662995594713657
9,201,-225,-1.1194029850746268
10,622,-826,-1.3279742765273312
11,508,-721,-1.419291338582677
12,296,-302,-1.0202702702702702
13,282,-342,-1.2127659574468086
14,1333,-1708,-1.2813203300825207
15,513,-852,-1.6608187134502923
16,498,-594,-1.1927710843373494
17,534,-630,-1.1797752808988764
18,417,-477,-1.143884892086331
19,366,-426,-1.1639344262295082
20,399,-585,-1.4661654135338347
21,708,-831,-1.173728813559322
22,448,-589,-1.3147321428571428
23,420,-642,-1.5285714285714285
24,85,-91,-1.0705882352941176
25,473,-812,-1.7167019027484143
26,259,-382,-1.4749034749034748
27,98,-113,-1.153061224489796
28,245,-269,-1.0979591836734695
29,341,-509,-1.4926686217008798
30,248,-497,-2.004032258064516
31,74,-134,-1.8108108108108107
32,329,-443,-1.3465045592705167
33,265,-514,-1.939622641509434
34,217,-259,-1.1935483870967742
35,223,-418,-1.8744394618834082
36,312,-426,-1.3653846153846154
37,149,-191,-1.2818791946308725
38,160,-211,-1.31875
39,213,-246,-1.1549295774647887
40,376,-598,-1.5904255319148937
41,254,-314,-1.236220472440945
42,338,-623,-1.8431952662721893
43,291,-441,-1.5154639175257731
44,192,-279,-1.453125
45,329,-389,-1.182370820668693
46,166,-235,-1.4156626506024097
47,173,-215,-1.2427745664739884
48,133,-157,-1.1804511278195489
49,140,-182,-1.3
50,37,-25,-0.6756756756756757
51,212,-362,-1.7075471698113207
52,265,-316,-1.1924528301886792
53,154,-214,-1.3896103896103895
54,17,4,0.23529411764705882
55,256,-487,-1.90234375
56,287,-419,-1.4599303135888502
57,210,-369,-1.7571428571428571
58,148,-190,-1.2837837837837838
59,323,-518,-1.6037151702786379
60,146,-152,-1.0410958904109588
61,208,-214,-1.0288461538461537
62,166,-280,-1.6867469879518073
63,377,-437,-1.1591511936339522
64,169,-211,-1.2485207100591715
65,178,-202,-1.1348314606741574
66,149,-137,-0.9194630872483222
67,17,-14,-0.8235294117647058
68,212,-281,-1.3254716981132075
69,152,-185,-1.2171052631578947
70,218,-260,-1.1926605504587156
71,173,-188,-1.0867052023121386
72,79,-76,-0.9620253164556962
73,176,-200,-1.1363636363636365
74,247,-298,-1.2064777327935223
75,496,-763,-1.5383064516129032
76,101,-125,-1.2376237623762376
77,229,-235,-1.0262008733624455
78,275,-344,-1.250909090909091
79,105,-111,-1.0571428571428572
80,211,-244,-1.1563981042654028
81,79,-85,-1.0759493670886076
82,45,-51,-1.1333333333333333
83,133,-166,-1.2481203007518797
84,96,-102,-1.0625
85,95,-83,-0.8736842105263158
86,144,-150,-1.0416666666666667
87,215,-248,-1.1534883720930234
88,114,-147,-1.2894736842105263
89,173,-215,-1.2427745664739884
90,105,-120,-1.1428571428571428
91,155,-188,-1.2129032258064516
92,104,-110,-1.0576923076923077
93,225,-375,-1.6666666666666667
94,90,-78,-0.8666666666666667
95,304,-427,-1.4046052631578947
96,130,-163,-1.2538461538461538
97,165,-162,-0.9818181818181818
98,62,-41,-0.6612903225806451
99,207,-276,-1.3333333333333333
100,126,-168,-1.3333333333333333
101,133,-157,-1.1804511278195489
102,96,-93,-0.96875
103,32,-38,-1.1875
104,24,-3,-0.125
105,124,-112,-0.9032258064516129
106,87,-75,-0.8620689655172413
107,132,-138,-1.0454545454545454
108,204,-264,-1.2941176470588236
109,82,-70,-0.8536585365853658
110,15,-3,-0.2
111,10,11,1.1
112,44,-23,-0.5227272727272727
113,12,9,0.75
114,126,-150,-1.1904761904761905
115,81,-69,-0.8518518518518519
116,16,5,0.3125
117,49,-37,-0.7551020408163265
118,173,-197,-1.138728323699422
119,78,-84,-1.0769230769230769
120,178,-229,-1.2865168539325842
121,199,-304,-1.5276381909547738
122,64,-61,-0.953125
123,373,-487,-1.3056300268096515
124,54,-33,-0.6111111111111112
125,80,-86,-1.075
126,26,-5,-0.19230769230769232
127,109,-124,-1.1376146788990826
128,175,-181,-1.0342857142857143
129,105,-120,-1.1428571428571428
130,257,-353,-1.3735408560311284
131,144,-150,-1.0416666666666667
132,41,-29,-0.7073170731707317
133,114,-165,-1.4473684210526316
134,91,-97,-1.065934065934066
135,26,-14,-0.5384615384615384
136,91,-106,-1.164835164835165
137,128,-170,-1.328125
138,28,-43,-1.5357142857142858
139,107,-149,-1.3925233644859814
140,94,-109,-1.1595744680851063
141,17,4,0.23529411764705882
142,67,-82,-1.2238805970149254
143,68,-101,-1.4852941176470589
144,90,-105,-1.1666666666666667
145,72,-51,-0.7083333333333334
146,78,-84,-1.0769230769230769
147,109,-142,-1.3027522935779816
148,195,-282,-1.4461538461538461
149,96,-93,-0.96875
150,25,-13,-0.52
151,41,-20,-0.4878048780487805
152,84,-90,-1.0714285714285714
153,106,-112,-1.0566037735849056
154,31,-10,-0.3225806451612903
155,19,-7,-0.3684210526315789
156,213,-246,-1.1549295774647887
157,29,-17,-0.5862068965517241
158,154,-232,-1.5064935064935066
159,42,-30,-0.7142857142857143
160,61,-76,-1.2459016393442623
161,109,-151,-1.385321100917431
162,234,-303,-1.294871794871795
163,221,-245,-1.1085972850678734
164,108,-141,-1.3055555555555556
165,42,-30,-0.7142857142857143
166,86,-101,-1.1744186046511629
167,28,-25,-0.8928571428571429
168,35,-41,-1.1714285714285715
169,57,-81,-1.4210526315789473
170,133,-139,-1.0451127819548873
171,212,-380,-1.7924528301886793
172,76,-73,-0.9605263157894737
173,61,-85,-1.3934426229508197
174,24,-21,-0.875
175,113,-137,-1.2123893805309736
176,69,-102,-1.4782608695652173
177,43,-40,-0.9302325581395349
178,167,-182,-1.089820359281437
179,14,7,0.5
180,167,-200,-1.1976047904191616
181,71,-77,-1.0845070422535212
182,54,-51,-0.9444444444444444
183,53,-41,-0.7735849056603774
184,132,-174,-1.3181818181818181
185,9,3,0.3333333333333333
186,11,1,0.09090909090909091
187,58,-37,-0.6379310344827587
188,66,-90,-1.3636363636363635
189,190,-223,-1.1736842105263159
190,14,7,0.5
191,220,-262,-1.190909090909091
192,99,-96,-0.9696969696969697
193,93,-117,-1.2580645161290323
194,95,-74,-0.7789473684210526
195,68,-74,-1.088235294117647
196,70,-76,-1.0857142857142856
197,71,-86,-1.2112676056338028
198,46,-52,-1.1304347826086956
199,58,-73,-1.2586206896551724
200,22,-1,-0.045454545454545456
201,12,0,0.0
202,70,-67,-0.9571428571428572
203,84,-72,-0.8571428571428571
204,21,0,0.0
205,90,-132,-1.4666666666666666
206,78,-75,-0.9615384615384616
207,42,-57,-1.3571428571428572
208,9,12,1.3333333333333333
209,57,-72,-1.263157894736842
210,75,-99,-1.32
