episode,steps,return,average_reward_per_step
1,228,-612,-2.6842105263157894
2,527,-1388,-2.633776091081594
3,490,-1387,-2.830612244897959
4,979,-2686,-2.7436159346271705
5,454,-820,-1.8061674008810573
6,765,-2076,-2.7137254901960786
7,331,-886,-2.676737160120846
8,2215,-4507,-2.034762979683973
9,655,-1309,-1.998473282442748
10,1770,-4116,-2.3254237288135595
11,420,-804,-1.9142857142857144
12,925,-1768,-1.9113513513513514
13,291,-621,-2.134020618556701
14,1216,-2185,-1.796875
15,1268,-2345,-1.8493690851735016
16,440,-887,-2.015909090909091
17,374,-695,-1.858288770053476
18,345,-612,-1.7739130434782608
19,689,-1307,-1.8969521044992743
20,487,-997,-2.047227926078029
21,83,-215,-2.5903614457831323
22,1053,-2436,-2.3133903133903133
23,399,-702,-1.7593984962406015
24,755,-1328,-1.7589403973509934
25,317,-566,-1.7854889589905363
26,1128,-2376,-2.106382978723404
27,526,-982,-1.8669201520912548
28,701,-1409,-2.0099857346647645
29,1340,-2534,-1.891044776119403
30,234,-447,-1.9102564102564104
31,381,-756,-1.984251968503937
32,427,-784,-1.8360655737704918
33,595,-1114,-1.8722689075630252
34,631,-1195,-1.8938193343898573
35,66,-72,-1.0909090909090908
36,342,-636,-1.8596491228070176
37,177,-318,-1.7966101694915255
38,315,-519,-1.6476190476190475
39,529,-976,-1.8449905482041589
40,529,-886,-1.6748582230623819
41,342,-654,-1.912280701754386
42,252,-438,-1.7380952380952381
43,263,-467,-1.7756653992395437
44,684,-1266,-1.8508771929824561
45,1194,-2334,-1.9547738693467336
46,245,-458,-1.8693877551020408
47,388,-763,-1.9664948453608246
48,272,-539,-1.9816176470588236
49,209,-332,-1.5885167464114833
50,114,-201,-1.763157894736842
51,500,-938,-1.876
52,208,-484,-2.326923076923077
53,179,-266,-1.4860335195530727
54,153,-276,-1.803921568627451
55,491,-983,-2.0020366598778003
56,40,-37,-0.925
57,453,-837,-1.8476821192052981
58,414,-762,-1.8405797101449275
59,279,-501,-1.7956989247311828
60,288,-456,-1.5833333333333333
61,387,-699,-1.806201550387597
62,243,-411,-1.691358024691358
63,211,-307,-1.4549763033175356
64,288,-510,-1.7708333333333333
65,71,-122,-1.7183098591549295
66,59,-110,-1.8644067796610169
67,89,-167,-1.8764044943820224
68,60,-93,-1.55
69,311,-596,-1.9163987138263665
70,392,-695,-1.7729591836734695
71,69,-93,-1.3478260869565217
72,205,-400,-1.951219512195122
73,355,-577,-1.6253521126760564
74,330,-597,-1.809090909090909
75,496,-970,-1.9556451612903225
76,162,-258,-1.5925925925925926
77,47,-62,-1.3191489361702127
78,417,-711,-1.7050359712230216
79,238,-478,-2.008403361344538
80,233,-455,-1.9527896995708154
81,572,-1073,-1.8758741258741258
82,410,-758,-1.8487804878048781
83,151,-274,-1.814569536423841
84,367,-634,-1.7275204359673024
85,364,-703,-1.9313186813186813
86,264,-504,-1.9090909090909092
87,372,-612,-1.6451612903225807
88,150,-264,-1.76
89,383,-722,-1.885117493472585
90,351,-609,-1.735042735042735
91,371,-656,-1.7681940700808625
92,116,-239,-2.060344827586207
93,239,-434,-1.8158995815899581
94,590,-1055,-1.7881355932203389
95,241,-400,-1.6597510373443984
96,36,-33,-0.9166666666666666
97,444,-846,-1.9054054054054055
98,49,-82,-1.6734693877551021
99,320,-488,-1.525
100,266,-479,-1.800751879699248
101,130,-217,-1.6692307692307693
102,146,-251,-1.7191780821917808
103,236,-422,-1.7881355932203389
104,300,-603,-2.01
105,218,-359,-1.646788990825688
106,416,-764,-1.8365384615384615
107,410,-785,-1.9146341463414633
108,90,-150,-1.6666666666666667
109,238,-343,-1.4411764705882353
110,180,-330,-1.8333333333333333
111,117,-195,-1.6666666666666667
112,304,-544,-1.7894736842105263
113,112,-190,-1.6964285714285714
114,45,-33,-0.7333333333333333
115,148,-253,-1.7094594594594594
116,168,-282,-1.6785714285714286
117,184,-370,-2.010869565217391
118,293,-407,-1.3890784982935154
119,76,-136,-1.7894736842105263
120,319,-640,-2.006269592476489
121,235,-403,-1.7148936170212765
122,311,-560,-1.8006430868167203
123,43,-22,-0.5116279069767442
124,186,-345,-1.8548387096774193
